element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,11506030567,,339.9,unknown,Unknown / unclassified,,,339.9,unknown,Unknown / unclassified,,True,True,present_both
node,11506030568,,305.6,unknown,Unknown / unclassified,,,305.6,unknown,Unknown / unclassified,,True,True,present_both
node,11506046369,,305.9,unknown,Unknown / unclassified,,,305.9,unknown,Unknown / unclassified,,True,True,present_both
node,11506046370,,307.7,unknown,Unknown / unclassified,,,307.7,unknown,Unknown / unclassified,,True,True,present_both
node,11506046371,,319.3,unknown,Unknown / unclassified,,,319.3,unknown,Unknown / unclassified,,True,True,present_both
node,11506046372,,327.6,unknown,Unknown / unclassified,,,327.6,unknown,Unknown / unclassified,,True,True,present_both
node,11506056498,,359.2,unknown,Unknown / unclassified,,,359.2,unknown,Unknown / unclassified,,True,True,present_both
node,12088002475,,451.6,unknown,Unknown / unclassified,,,451.6,unknown,Unknown / unclassified,,True,True,present_both
node,12088002476,,415.7,unknown,Unknown / unclassified,,,415.7,unknown,Unknown / unclassified,,True,True,present_both
node,13055695669,,398.2,unknown,Unknown / unclassified,,,398.2,unknown,Unknown / unclassified,,True,True,present_both
relation,8794901,جاده ۹۱,367658.2,unknown,Unknown / unclassified,distance=1420; from=Feyzabad; name=جاده ۹۱; name:en=Road 91 (Iran); name:ko=국도 제91호선 (이란); name:tr=Karayolu 91 (İran); network=IR:national; ref=91; ref:fa=۹۱; route=road; to=Jask; type=route; wikidata=Q4811985; wikipedia=fa:جاده ۹۱ (ایران),جاده ۹۱,367658.2,unknown,Unknown / unclassified,distance=1420; from=Feyzabad; name=جاده ۹۱; name:en=Road 91 (Iran); name:ko=국도 제91호선 (이란); name:tr=Karayolu 91 (İran); network=IR:national; ref=91; ref:fa=۹۱; route=road; to=Jask; type=route; wikidata=Q4811985; wikipedia=fa:جاده ۹۱ (ایران),True,True,present_both
